document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,examples,definition_derived_from,type,tdwgutility_organizedInClass
2025-08-29T09:06:28+10:00,scientificName,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Scientific Name,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this SHOULD be the name in lowest level taxonomic rank that can be determined. This term SHOULD not contain identification qualifications, which SHOULD instead be supplied in the `identificationQualifier` term.",,`scientificName` can be used in addition to the `taxonName` property on a Taxon Concept object or the `nameString` property on a Taxon Name object.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept
2025-08-29T09:06:28+10:00,scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Scientific Name Authorship,The authorship information for the `scientificName` formatted according to the conventions of the applicable `nomenclaturalCode`.,`scientificNameAuthorship` can be used if the `nameString` is a scientific name.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,vernacularName,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Vernacular Name,A common or vernacular name.,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept
2025-08-29T09:06:28+10:00,namePublishedIn,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Name Published In,A reference for the publication in which the `dwc:scientificName` was originally established under the rules of the associated `dwc:nomenclaturalCode`.,,"This is the string literal equivalent of the TCS `namePublishedIn`. It can be used if one wants to give the protologue as a string, as in many botanical publications.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,namePublishedInYear,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Name Published In Year,The four-digit year in which the `scientificName` was published.,"This is the publication year for the present name combination, not the basionym should this be a new combination.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,verbatimTaxonRank,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Verbatim Taxon Rank,The taxonomic rank of the most specific name in the `dwc:scientificName` as it appears in the original record.,,"This term may be used for taxonomic rank designations that are not in the controlled vocabulary that is used. Implementations can decide for themselves if it makes more sense to use this term on a Taxon Concept object or a Taxon Name object, or both.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept
2025-08-29T09:06:28+10:00,genericName,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Generic Name,The genus part of the `scientificName` without authorship.,This property SHOULD only be used for names below the rank of genus.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,infragenericEpithet,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Infrageneric Epithet,The infrageneric part of combinations at ranks above species but below genus.,"Names at ranks between species and genus, e.g. subgenera and sections, are composed of two parts; the genus and the infrageneric epithet. This property SHOULD therefore always be accompanied by the `genericName` property. If the `infragenericEpithet` property is present, the `specificEpithet` and `infraspecificEpithet` properties SHOULD not be present.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,specificEpithet,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Specific Epithet,The name of the first or species epithet of the scientificName.,"Names at ranks of species and below are composed of two or three parts: the generic name, the specific epithet and possibly an infraspecific epithet. This property SHOULD therefore always be accompanied by the `genus` property. If the `specificEpithet` property is present the `infragenericEpithet` property SHOULD not be present.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,infraspecificEpithet,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Infraspecific Epithet,"The name of the lowest or terminal infraspecific epithet of the `scientificName`, excluding any rank designation.","Names at ranks below species are composed of three parts; the genus name, the specific epithet and an infraspecific epithet. This property SHOULD therefore always be accompanied by the `genus` and `specificEpithet` properties. If the `infraspecificEpithet` property is present the `infragenericEpithet` property SHOULD not be present.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
2025-08-29T09:06:28+10:00,cultivarEpithet,http://rs.tdwg.org/dwc/terms/,2025-08-29,2025-08-29,,,,,Cultivar Epithet,"Part of the name of a cultivar, cultivar group or grex that follows the scientific name.","The cultivar epithet follows a well-formed botanical name. Only include the string of the epithet. i.e. omit the single quotes around cultivar names, the word 'Group' that denotes cultivar group, the + sign used in chimeras and the 'gx' suffix in greges.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName
